stop,rrr,capital,sharpe,dd,cagr,avg_yearly
0.0045,1.0,1114298.2347500005,1.003055632088105,-30.247803456766604,27.237216587227685,26.376813214680915
0.0045,1.5,1723080.3072499956,1.4763983397412126,-19.09962243767019,32.90123637833568,26.402923105615862
0.0045,2.0,2226969.6216249983,1.5576538195037584,-20.9232234842539,36.35176035063876,31.139965787131345
0.0045,2.5,2248625.006187501,1.4549994268932156,-25.413792130079838,36.483665716975565,34.16326817647336
0.0045,3.0,2111857.152749999,1.2722403890211176,-26.634508795130696,35.630594936751805,35.008775447987084
0.0045,3.5,2112992.5294374996,1.4343123375546627,-28.05749417298213,35.63787895856709,31.612588903713913
0.0045,4.0,1918336.057499998,1.1932841054204695,-31.239420792648705,34.33435973604935,35.92947339264028
0.0045,4.5,1840230.8960624991,1.20213706965254,-38.7062575346127,33.77758605006138,36.51405610635218
0.0045,5.0,1927118.3103749976,1.183916843079381,-36.57174425263824,34.395682036013554,33.17706754291186
0.0045,5.5,1904433.7618124995,1.2120682436686463,-37.84304903864889,34.23676805851565,31.363872472548117
0.005,1.0,1010410.6999999968,0.9147548076587131,-34.76544862097225,25.99905850943358,25.065697437457867
0.005,1.5,1471651.7831249954,1.1819185446138676,-26.36822660976918,30.823149683366502,29.915106926841617
0.005,2.0,1914320.935000002,1.4438248804853635,-19.348437107100384,34.30623983136667,30.559847267254835
0.005,2.5,1903936.9787499988,1.1534311834913356,-39.35868803622645,34.233268876143775,35.540288879793316
0.005,3.0,1880066.5037500006,1.3497396079246413,-28.09933150285515,34.064156677933745,29.761960258733914
0.005,3.5,2115713.3750000023,1.3446723700849301,-33.71446753041474,35.65532024715019,34.00533770074227
0.005,4.0,1924524.6512500034,1.3191142401082687,-29.78690697454133,34.37759796415427,32.23325862593622
0.005,4.5,1738943.6181249975,1.0793473166727001,-42.24748857858059,33.02298606992653,35.07271087963982
0.005,5.0,1919566.81875,1.2867010879554543,-26.50090045755027,34.34296876290328,28.1117489679941
0.005,5.5,1722991.2906250001,0.8992932599298171,-35.500954231964656,32.90055034074007,37.344774624136534
