date,entry,exit,qty,direction,pnl,capital
2018-09-06 10:25:00,11493.0,11504.493,65,-1,-787.0450000000255,480730.8597500003
2018-09-06 11:05:00,11506.7,11518.2067,65,-1,-787.9354999999941,479942.9242500003
2018-09-06 12:45:00,11512.4,11449.0818,65,-1,4075.682999999981,484018.60725000023
2018-09-06 13:00:00,11436.55,11447.98655,65,-1,-783.3757500000229,483235.2315000002
2018-09-06 13:35:00,11461.65,11473.111649999999,65,-1,-785.0072499999533,482450.22425000026
2018-09-06 14:05:00,11496.5,11507.9965,65,-1,-787.2724999999537,481662.9517500003
2018-09-06 14:25:00,11507.2,11518.7072,65,-1,-787.9680000000008,480874.9837500003
2018-09-06 15:10:00,11548.05,11536.50195,65,1,-790.6232499999624,480084.36050000036
2018-09-07 09:15:00,11529.0,11517.471,65,1,-789.3850000000293,479294.97550000035
2018-09-07 11:15:00,11561.35,11549.78865,65,1,-791.4877499999966,478503.4877500004
2018-09-07 12:00:00,11558.55,11546.99145,65,1,-791.3057499999832,477712.1820000004
2018-09-10 09:30:00,11564.75,11553.18525,65,1,-791.7087499999707,476920.4732500004
2018-09-10 15:05:00,11501.6,11438.3412,65,-1,4071.8219999999747,480992.2952500004
2018-09-11 09:35:00,11432.35,11443.78235,65,-1,-783.1027499999436,480209.1925000004
2018-09-11 13:50:00,11446.6,11383.6437,65,-1,4052.159499999989,484261.3520000004
2018-09-11 14:50:00,11375.25,11312.686125,65,-1,4026.6518749999886,488288.0038750004
2018-09-12 09:15:00,11294.35,11305.64435,65,-1,-774.132750000008,487513.8711250004
2018-09-12 10:40:00,11307.5,11318.8075,65,-1,-774.987500000052,486738.88362500037
2018-09-12 13:55:00,11317.55,11328.867549999999,65,-1,-775.6407499999841,485963.2428750004
2018-09-14 09:55:00,11433.15,11444.58315,65,-1,-783.1547500000488,485180.08812500036
2018-09-14 11:35:00,11455.9,11444.444099999999,65,1,-784.6335000000545,484395.4546250003
2018-09-14 15:00:00,11446.4,11509.3552,65,1,4052.0880000000216,488447.54262500035
2018-09-17 09:15:00,11515.7,11504.1843,65,1,-788.5204999999951,487659.02212500037
2018-09-18 14:30:00,11405.7,11342.96865,65,-1,4037.5377500000013,491696.5598750004
2018-09-19 14:10:00,11322.1,11259.82845,65,-1,4007.650749999966,495704.21062500036
2018-09-21 09:15:00,11241.2,11252.441200000001,65,-1,-770.6780000000253,494933.53262500034
2018-09-21 13:00:00,11180.15,11118.659174999999,65,-1,3956.90362500005,498890.4362500004
2018-09-21 14:10:00,11153.05,11091.708224999998,65,-1,3947.2153750000507,502837.6516250004
2018-09-21 14:30:00,11083.05,11022.093224999999,65,-1,3922.1903750000365,506759.84200000047
2018-09-21 15:20:00,11143.8,11154.9438,65,-1,-764.3469999999888,505995.49500000046
2018-09-24 09:20:00,11160.55,11099.166975,65,-1,3949.8966249999467,509945.3916250004
2018-09-24 11:50:00,11093.4,11032.3863,65,-1,3925.8904999999686,513871.2821250004
2018-09-24 14:00:00,11015.95,10955.362275000001,65,-1,3898.2021249999616,517769.4842500003
2018-09-24 14:25:00,10961.4,10972.3614,65,-1,-752.4910000000091,517016.9932500003
2018-09-24 14:55:00,10992.2,11003.192200000001,65,-1,-754.4930000000386,516262.5002500003
2018-09-25 09:25:00,10992.1,10931.64345,65,-1,3889.6757500000513,520152.1760000003
2018-09-25 09:40:00,10897.7,10908.5977,65,-1,-748.3504999999695,519403.8255000004
2018-09-25 10:10:00,10942.65,10953.59265,65,-1,-751.2722500000564,518652.55325000035
2018-09-25 14:10:00,10955.35,10966.30535,65,-1,-752.0977500000117,517900.45550000033
2018-09-25 14:35:00,10955.15,10966.10515,65,-1,-752.0847499999854,517148.37075000035
2018-09-26 09:30:00,11089.45,11100.53945,65,-1,-760.8142499999667,516387.5565000004
2018-09-26 11:25:00,11093.95,11032.933275000001,65,-1,3926.0871249999673,520313.6436250004
2018-09-27 09:35:00,11084.45,11073.36555,65,1,-760.4892500000187,519553.15437500033
2018-09-28 09:15:00,11006.15,11017.156149999999,65,-1,-755.3997499999514,518797.7546250004
2018-09-28 09:40:00,10938.6,10949.5386,65,-1,-751.0089999999673,518046.74562500045
2018-09-28 09:50:00,10939.5,10950.4395,65,-1,-751.0675000000265,517295.67812500044
2018-09-28 10:30:00,10962.75,10973.71275,65,-1,-752.5787500000388,516543.0993750004
2018-09-28 11:10:00,10976.05,10987.026049999999,65,-1,-753.4432499999548,515789.65612500045
2018-09-28 11:35:00,11005.85,11016.85585,65,-1,-755.380249999971,515034.27587500046
2018-09-28 13:50:00,11006.75,10946.212875,65,-1,3894.9131250000482,518929.1890000005
2018-09-28 14:20:00,10914.15,10925.06415,65,-1,-749.4197500000337,518179.7692500004
2018-09-28 15:10:00,10915.6,10926.5156,65,-1,-749.5140000000174,517430.2552500004
2018-10-01 09:15:00,10949.05,10888.830225,65,-1,3874.285374999972,521304.5406250004
2018-10-01 11:25:00,10904.9,10844.92305,65,-1,3858.501750000014,525163.0423750004
2018-10-01 12:00:00,10834.85,10845.68485,65,-1,-744.2652499999531,524418.7771250005
2018-10-01 12:40:00,10850.25,10861.10025,65,-1,-745.2662499999678,523673.5108750005
2018-10-01 12:50:00,10866.35,10877.21635,65,-1,-746.3127500000155,522927.19812500046
2018-10-01 13:25:00,10884.1,10894.9841,65,-1,-747.466499999955,522179.7316250005
2018-10-01 13:50:00,10900.5,10911.4005,65,-1,-748.532499999983,521431.1991250005
2018-10-01 14:15:00,10915.55,10926.465549999999,65,-1,-749.5107499999813,520681.68837500055
2018-10-04 09:15:00,10866.55,10806.783974999998,65,-1,3844.7916250000526,524526.4800000006
2018-10-04 11:30:00,10702.25,10643.387625,65,-1,3786.0543750000397,528312.5343750006
2018-10-04 12:30:00,10631.75,10642.38175,65,-1,-731.0637500000303,527581.4706250005
2018-10-04 13:45:00,10642.05,10583.518725,65,-1,3764.532874999959,531346.0035000005
2018-10-04 14:15:00,10598.9,10609.4989,65,-1,-728.9285000000564,530617.0750000004
2018-10-04 14:40:00,10628.95,10639.578950000001,65,-1,-730.8817500000168,529886.1932500004
2018-10-04 15:20:00,10651.95,10593.364275,65,-1,3768.0721250000533,533654.2653750004
2018-10-05 09:30:00,10512.55,10523.062549999999,65,-1,-723.3157499999652,532930.9496250005
2018-10-05 10:35:00,10512.1,10454.28345,65,-1,3718.075749999971,536649.0253750004
2018-10-05 13:05:00,10476.85,10419.227325,65,-1,3705.4738750000342,540354.4992500005
