start,end,peak,bottom,dd_percent
2022-03-02 09:30:00,2022-03-02 12:45:00,855893203.6578486,589830820.318508,31.08593247408254
2022-05-24 13:00:00,2022-05-24 14:20:00,2421955494.1392627,1653521730.2974129,31.727823475754786
2022-05-24 14:55:00,2022-05-25 11:45:00,2421955494.1392627,1610248924.7087033,33.51451219457818
2022-05-25 12:15:00,2022-05-25 13:35:00,2421955494.1392627,1692493791.3653855,30.118707983654346
2023-03-21 11:50:00,2023-03-22 09:15:00,38566117361.22414,26866370956.75827,30.33685318872478
2023-03-29 11:05:00,2023-03-31 09:15:00,38566117361.22414,25592870026.94226,33.63897696200468
2023-04-18 09:15:00,2023-04-18 10:15:00,38566117361.22414,26954709040.518143,30.107796986534485
2023-04-24 09:15:00,2023-04-25 11:05:00,38566117361.22414,26374125580.83456,31.613220657384282
2023-04-25 12:35:00,2023-04-27 09:40:00,38566117361.22414,26479863238.723,31.33904823577891
2023-05-12 09:50:00,2023-05-17 11:00:00,38566117361.22414,25684284095.87545,33.401944885176796
2023-06-05 15:00:00,2023-06-09 13:50:00,38566117361.22414,25544245991.536472,33.76505663694411
2023-06-12 10:20:00,2023-06-14 13:10:00,38566117361.22414,26198989582.582253,32.06733948042245
2023-06-15 09:15:00,2023-06-28 12:00:00,38566117361.22414,24751216123.00268,35.82134314643633
2023-07-31 12:35:00,2023-07-31 15:00:00,38566117361.22414,26793556420.328594,30.525657614505235
2023-08-10 09:15:00,2023-08-14 09:15:00,38566117361.22414,25696297863.01601,33.37079379203451
2023-08-14 13:45:00,2023-08-25 09:15:00,38566117361.22414,24464377875.73042,36.56510027548729
2023-08-28 10:30:00,2023-09-04 09:15:00,38566117361.22414,24923826708.85879,35.37377259055336
2023-09-06 14:40:00,2023-09-08 09:15:00,38566117361.22414,25484469576.69933,33.9200538700782
2024-03-06 09:55:00,2024-03-13 14:20:00,65706869960.224815,39991262565.84729,39.136862568471585
2024-03-14 09:30:00,2024-04-25 13:00:00,65706869960.224815,34816917988.63947,47.011753855090575
2024-04-29 09:15:00,2024-04-30 09:15:00,65706869960.224815,44269004314.44913,32.62652087788225
2024-05-06 09:25:00,2024-05-07 10:20:00,65706869960.224815,43819918375.48407,33.30998965251252
2024-05-09 11:45:00,2024-05-09 12:45:00,65706869960.224815,45290777045.27356,31.0714738463573
2024-05-13 11:05:00,2024-05-14 13:40:00,65706869960.224815,42344607282.23164,35.55528165035916
2024-05-14 15:00:00,2024-05-23 12:55:00,65706869960.224815,41553499465.73404,36.75927724013006
2024-06-03 09:15:00,2024-06-27 12:10:00,65706869960.224815,37191903703.15096,43.39723726656769
2024-06-27 12:55:00,2024-06-27 15:15:00,65706869960.224815,44802692874.94155,31.814294453437608
2024-06-28 12:15:00,2024-07-04 09:40:00,65706869960.224815,44123001257.10101,32.8487245187443
2024-07-04 10:15:00,2024-07-22 09:15:00,65706869960.224815,39584579067.39958,39.75579860772272
2024-07-23 10:55:00,2024-07-24 09:35:00,65706869960.224815,45555799456.38023,30.668133356592524
2025-02-04 10:25:00,2025-02-04 13:05:00,103472435169.31557,72005708706.29596,30.410733459137695
2025-02-07 10:55:00,2025-02-07 12:50:00,103472435169.31557,71027836899.51219,31.35578883082547
2025-02-18 14:25:00,2025-02-19 09:45:00,103472435169.31557,72049841410.53403,30.368081805906716
2025-02-19 14:15:00,2025-02-21 11:05:00,103472435169.31557,71025213034.85056,31.358324641118656
2025-05-15 12:05:00,2025-05-15 13:55:00,223211779310.6341,152302825075.18433,31.767568205604807
2025-05-15 15:15:00,2025-05-20 14:40:00,223211779310.6341,144555198701.13733,35.23854379568107
2025-05-21 09:15:00,2025-05-22 12:50:00,223211779310.6341,154347812355.10394,30.85140361687417
2025-05-22 14:55:00,2025-05-26 09:15:00,223211779310.6341,152251609421.7154,31.790513075999687
2025-05-27 09:15:00,2025-06-09 09:15:00,223211779310.6341,141728480182.23373,36.50492791198246
2025-07-04 14:35:00,2025-07-11 12:00:00,223211779310.6341,146237873876.05756,34.484696852604415
2025-07-16 09:20:00,2025-07-18 09:40:00,223211779310.6341,153850535051.80554,31.074186350309734
